anzahl;vorname;geschlecht;position
42;Adam;m;1
35;Noah;m;1
33;Sophie;w;2
31;Marie;w;2
29;Elias;m;1
27;Mira;w;1
26;Emma;w;1
23;Leon;m;1
23;Charlotte;w;2
23;Alexander;m;2
21;Jonathan;m;1
20;Charlotte;w;1
20;Emilia;w;1
20;Mila;w;1
20;Felix;m;1
20;Liam;m;1
19;Ella;w;1
19;Ali;m;1
19;Emil;m;1
18;Lara;w;1
18;Mia;w;1
18;Alexander;m;1
18;Leo;m;1
18;Levi;m;1
18;Maximilian;m;1
18;Theodor;m;1
18;Maria;w;2
18;Ali;m;2
17;Alma;w;1
17;Anna;w;1
17;Amir;m;1
16;Clara;w;1
16;Louis;m;1
16;Luise;w;2
15;Amira;w;1
15;Maria;w;1
15;Maya;w;1
15;Sofia;w;1
15;Mohammad;m;1
14;Helena;w;1
14;Leni;w;1
14;Lia;w;1
14;Sophia;w;1
14;Hamza;m;1
14;Jakob;m;1
14;Muhammad;m;1
14;Paul;m;1
14;Samuel;m;1
14;Emil;m;2
14;Paul;m;2
13;Leonie;w;1
13;Marie;w;1
13;Matilda;w;1
13;Daniel;m;1
13;Ibrahim;m;1
13;Theo;m;1
13;Elisabeth;w;2
13;Emilia;w;2
13;Johanna;w;2
12;Carla;w;1
12;Elena;w;1
12;Lea;w;1
12;Mariam;w;1
12;Nora;w;1
12;Arthur;m;1
12;David;m;1
12;Omar;m;1
11;Elisa;w;1
11;Hanna;w;1
11;Olivia;w;1
11;Sophie;w;1
11;Tilda;w;1
11;Anton;m;1
11;Finn;m;1
11;Jonas;m;1
11;Luis;m;1
11;Lukas;m;1
11;Malik;m;1
11;Mateo;m;1
11;Muhammed;m;1
10;Amalia;w;1
10;Amina;w;1
10;Ayla;w;1
10;Fatima;w;1
10;Lina;w;1
10;Luna;w;1
10;Nina;w;1
10;Emir;m;1
10;Issa;m;1
10;Johann;m;1
10;Joshua;m;1
10;Leonardo;m;1
10;Linus;m;1
10;Luca;m;1
10;Mahmoud;m;1
10;Mark;m;1
10;Milo;m;1
10;Isabel;w;2
10;Michael;m;2
9;Amelie;w;1
9;Ava;w;1
9;Emily;w;1
9;Eva;w;1
9;Lotta;w;1
9;Benjamin;m;1
9;Gabriel;m;1
9;Henri;m;1
9;Ilyas;m;1
9;Milan;m;1
9;Mohamed;m;1
9;Oskar;m;1
9;Raphael;m;1
9;Vincent;m;1
9;Younes;m;1
9;Yusuf;m;1
9;Anna;w;2
9;Clara;w;2
9;Helene;w;2
9;Katharina;w;2
9;Sophia;w;2
9;Johann;m;2
9;Levi;m;2
9;Maximilian;m;2
9;Samuel;m;2
9;Valentin;m;2
9;Wilhelm;m;2
8;Frieda;w;1
8;Ida;w;1
8;Lola;w;1
8;Mathilda;w;1
8;Melina;w;1
8;Pauline;w;1
8;Sara;w;1
8;Victoria;w;1
8;Aaron;m;1
